File extension,Name
.py,dot pie
.talon,dot talon
.md,dot mark down
.sh,dot shell
.vim,dot vim
.c,dot see
.cs,dot see sharp
.com,dot com
.net,dot net
.org,dot org
.us,dot us
.us,dot U S
.exe,dot exe
.bin,dot bin
.bin,dot bend
.json,dot jason
.json,dot jay son
.js,dot J S
.js,dot java script
.ts,dot TS
.ts,dot type script
.csv,dot csv
.csv,totssv
.csv,tot csv
.csv,dot cassie
.txt,dot text
.mat,dot mat
.png,dot P N G
.cpp,dot C P P
.h,dot H
.hpp,dot H P P
.html,dot HTML
.css,dot CSS
.jpg,dot jaypeg
