Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
add,ad
aegis,egis
barrel,beryl
boid,Boyd
byte,bite
bytes,bites
cache,cash
caches,cashes
column,callum
console,consul
copy,coppy
fully,folly
gator,gaiter
gator,gater
gators,gaiters
gators,gaters
gray,grey
hoodie,hoody
intern,inturn
java,drava
kernel,colonel
main,mane
mod,maud
nausea,naja
or,er
queue,cu
queues,cues
strapi,strappy
tail,tale
tobii,toby
wrap,rap
wrapper,rapper
yeah,ya
yeah,yea
Castillo,castillo
Chris,cris
Chris,criss
